hospital_id,name,street_address,city,province,postal_code,country,phone_number,email_address,hospital_type,operating_hours,accreditation_status,emergency_contact
1,"Gordon, Petty and Brewer Hospital",45705 Jensen Gateway Suite 250,Granby,Quebec,E7B 6X9,Canada,438-675-0634,gordonpettyandbrewer@clinic.ca,Specialized,10 AM - 8 PM,Accredited,450-216-5371
2,Houston LLC Hospital,82868 Brown Course Suite 313,Quebec City,Quebec,M7R 6D4,Canada,438-741-2593,houstonllc@hospital.ca,Clinic,24/7,Pending,438-971-4306
3,"Hendricks, Stephens and Morales Hospital",3363 Stone Alley,Beaconsfield,Quebec,D5I 0J4,Canada,450-453-2683,hendricksstephensandmorales@clinic.ca,Specialized,7 AM - 7 PM,Pending,418-456-6448
4,Kelly LLC Hospital,60957 Kennedy Valley,Drummondville,Quebec,G0B 5X9,Canada,514-703-3361,kellyllc@clinic.ca,General,24/7,Pending,514-149-5109
5,Martin Ltd Hospital,695 Perez Estates Suite 943,Beaconsfield,Quebec,F5E 9Y8,Canada,438-553-8671,martinltd@hospital.ca,Specialized,10 AM - 8 PM,Pending,438-716-0417
6,Evans-Lopez Hospital,0509 Michael Overpass,Quebec City,Quebec,B9P 4W8,Canada,438-303-3808,evanslopez@hospital.ca,Clinic,9 AM - 5 PM,Accredited,450-555-4607
7,"Rodgers, Price and Smith Hospital",790 Fleming Tunnel Apt. 400,Trois-Rivières,Quebec,W8G 1C4,Canada,438-477-1546,rodgerspriceandsmith@healthcare.com,Clinic,10 AM - 8 PM,Accredited,450-976-9302
8,"Hill, Fox and Gomez Hospital",213 Smith Turnpike Apt. 143,Montreal,Quebec,P1J 7O5,Canada,514-622-1832,hillfoxandgomez@healthcare.com,Clinic,8 AM - 6 PM,Accredited,438-398-8337
9,Savage-Horton Hospital,869 Young Mountain,Pointe-Claire,Quebec,P8A 2E3,Canada,418-463-4296,savagehorton@medcenter.ca,General,7 AM - 7 PM,Accredited,438-791-3360
10,"Crawford, Parker and Marquez Hospital",595 Wilson Trail Suite 231,Kirkland,Quebec,Y3B 5B8,Canada,418-241-4204,crawfordparkerandmarquez@medcenter.ca,General,7 AM - 7 PM,Accredited,438-198-9854
11,"Williams, Pennington and Ramirez Hospital",44924 Morgan Court Apt. 727,Dollard-Des Ormeaux,Quebec,Z1S 3E9,Canada,418-347-7997,williamspenningtonandramirez@clinic.ca,Specialized,10 AM - 8 PM,Accredited,514-124-4388
12,"Robertson, Smith and Fisher Hospital",4289 Vargas Village Apt. 504,Dollard-Des Ormeaux,Quebec,M7W 9U8,Canada,438-010-2707,robertsonsmithandfisher@clinic.ca,General,9 AM - 5 PM,Pending,
