hospital_id,name,street_address,city,province,postal_code,country,phone_number,email_address,hospital_type,operating_hours,accreditation_status,emergency_contact
1,Rodriguez and Sons Hospital,944 Villegas Prairie Suite 783,Kirkland,Quebec,B4M 4U4,Canada,438-544-6196,rodriguezandsons@clinic.ca,General,10 AM - 8 PM,Accredited,418-698-6144
2,Soto-Conley Hospital,826 Michele Streets,Montreal,Quebec,O3S 5B3,Canada,418-194-0184,sotoconley@healthcare.com,Specialized,8 AM - 6 PM,Accredited,514-729-4253
3,Alvarado Group Hospital,86610 Wilson Lakes,Montreal,Quebec,P9K 6K1,Canada,450-285-9862,alvaradogroup@healthcare.com,Specialized,24/7,Accredited,514-239-1745
4,Sullivan-Price Hospital,4638 Alexander Junction,Repentigny,Quebec,N7O 3P8,Canada,514-069-7815,sullivanprice@hospital.ca,Specialized,9 AM - 5 PM,Accredited,418-699-5274
5,"Hall, Wilson and Villarreal Hospital",6614 Walker Heights Apt. 252,Pointe-Claire,Quebec,O3J 3A4,Canada,514-505-4766,hallwilsonandvillarreal@healthcare.com,General,8 AM - 6 PM,Pending,514-199-5572
6,Wyatt Group Hospital,566 Stone Meadow Suite 527,Quebec City,Quebec,J0C 8H1,Canada,514-644-6100,wyattgroup@hospital.ca,Specialized,9 AM - 5 PM,Certified,418-901-4809
7,Mcdowell PLC Hospital,678 Jones Divide,Kirkland,Quebec,Q4C 0O7,Canada,450-145-8111,mcdowellplc@healthcare.com,Specialized,24/7,Accredited,514-700-3813
8,"Griffin, Davis and Flores Hospital",75577 Claudia Circle,Quebec City,Quebec,C2T 9R0,Canada,418-087-8732,griffindavisandflores@hospital.ca,General,9 AM - 5 PM,Accredited,
9,"Chang, Obrien and Watson Hospital",63121 Martinez Shoals,Beaconsfield,Quebec,S1O 8U8,Canada,418-249-4311,changobrienandwatson@medcenter.ca,Specialized,10 AM - 8 PM,Certified,
10,Bird and Sons Hospital,777 Traci Inlet,Brossard,Quebec,K2F 4N8,Canada,438-916-8154,birdandsons@hospital.ca,General,24/7,Pending,450-153-8676
11,Ortiz Group Hospital,777 Salazar Burgs,Mascouche,Quebec,L6J 9M6,Canada,418-038-9620,ortizgroup@healthcare.com,Clinic,8 AM - 6 PM,Pending,450-154-6178
12,"Hill, Solis and Schroeder Hospital",7341 Williams Fort,Laval,Quebec,E0F 5I4,Canada,450-208-0527,hillsolisandschroeder@medcenter.ca,Clinic,10 AM - 8 PM,Certified,
13,Parrish Group Hospital,6719 Christopher Lodge Apt. 454,Quebec City,Quebec,X0Z 9T4,Canada,514-587-5826,parrishgroup@hospital.ca,General,7 AM - 7 PM,Certified,514-686-2400
14,Leonard-Harrison Hospital,296 Bullock Ferry Suite 198,Montreal,Quebec,C0N 6B5,Canada,450-495-7171,leonardharrison@hospital.ca,Clinic,9 AM - 5 PM,Pending,450-210-2746
15,Davis-Wells Hospital,7911 Mindy Green,Laval,Quebec,V4U 0B3,Canada,450-854-2665,daviswells@healthcare.com,Specialized,8 AM - 6 PM,Certified,514-871-8517
16,Escobar-Thomas Hospital,8211 Keith Fork Suite 079,Kirkland,Quebec,O5O 4K0,Canada,438-709-5379,escobarthomas@clinic.ca,Specialized,10 AM - 8 PM,Certified,418-741-9410
17,Decker LLC Hospital,04438 Shepherd Expressway,Quebec City,Quebec,A0L 3T6,Canada,450-744-6433,deckerllc@medcenter.ca,Specialized,8 AM - 6 PM,Certified,438-880-3821
18,Martinez Inc Hospital,62330 Jack Corners Apt. 140,Gatineau,Quebec,F7Q 3C3,Canada,418-669-5110,martinezinc@clinic.ca,General,10 AM - 8 PM,Accredited,514-060-6836
19,Jones-Johnson Hospital,6462 Turner Shoal Apt. 541,Granby,Quebec,E5M 8J7,Canada,438-597-7869,jonesjohnson@clinic.ca,Specialized,7 AM - 7 PM,Accredited,418-284-4033
20,Logan-Brennan Hospital,08620 Kevin Ranch,Gatineau,Quebec,W4T 2Q8,Canada,514-119-2165,loganbrennan@hospital.ca,Clinic,10 AM - 8 PM,Certified,450-483-7361
21,Knapp-Bowen Hospital,305 Adam Ferry,Montreal,Quebec,W0Z 5Q6,Canada,514-602-8478,knappbowen@clinic.ca,Clinic,9 AM - 5 PM,Pending,
22,Perez-Casey Hospital,22942 Love Trail,Montreal,Quebec,L1F 4J0,Canada,418-824-5550,perezcasey@hospital.ca,Specialized,9 AM - 5 PM,Accredited,438-812-9854
23,Mcdonald-Horton Hospital,738 Alexander Mews,Blainville,Quebec,O4P 0K7,Canada,450-992-8610,mcdonaldhorton@healthcare.com,General,8 AM - 6 PM,Certified,514-444-3081
24,Jackson Inc Hospital,06766 Bryan Estate Suite 932,Pointe-Claire,Quebec,C8E 9G3,Canada,418-006-6102,jacksoninc@hospital.ca,General,24/7,Accredited,
25,Hamilton Ltd Hospital,9462 Johnson Ford Apt. 876,Gatineau,Quebec,L9L 3F4,Canada,514-297-1874,hamiltonltd@clinic.ca,Clinic,8 AM - 6 PM,Accredited,450-939-3315
26,"Washington, Lamb and Yates Hospital",643 Walker Rapids,Drummondville,Quebec,P4W 6I6,Canada,514-970-8398,washingtonlambandyates@hospital.ca,General,9 AM - 5 PM,Certified,
27,"Watts, Duffy and Davis Hospital",412 Alexander Court Apt. 092,Pointe-Claire,Quebec,E2O 9C3,Canada,450-038-2540,wattsduffyanddavis@healthcare.com,General,24/7,Accredited,418-386-8506
28,"Thornton, Barker and Gonzalez Hospital",82885 Hickman Row Suite 411,Brossard,Quebec,D6S 0N6,Canada,514-727-3753,thorntonbarkerandgonzalez@medcenter.ca,Specialized,9 AM - 5 PM,Accredited,418-988-6219
29,Sweeney-Hardin Hospital,2369 Luna Pass Apt. 322,Granby,Quebec,I0E 1G4,Canada,418-655-3468,sweeneyhardin@medcenter.ca,Specialized,7 AM - 7 PM,Accredited,514-736-7356
30,Thomas Group Hospital,36308 Thomas Canyon Suite 852,Repentigny,Quebec,I3B 0M0,Canada,438-702-7326,thomasgroup@clinic.ca,Clinic,7 AM - 7 PM,Pending,514-141-2067
31,Perez PLC Hospital,450 West Estates,Dollard-Des Ormeaux,Quebec,L1O 9F8,Canada,514-922-1255,perezplc@medcenter.ca,General,10 AM - 8 PM,Accredited,450-875-8779
32,"Roth, Cox and Williams Hospital",044 Kathryn Lodge Suite 098,Drummondville,Quebec,U0N 3C4,Canada,450-916-8196,rothcoxandwilliams@healthcare.com,Specialized,9 AM - 5 PM,Certified,450-619-9102
33,"Becker, Reilly and Cox Hospital",0195 Aguilar Flats,Mascouche,Quebec,S0H 7E3,Canada,418-652-9725,beckerreillyandcox@hospital.ca,Specialized,24/7,Pending,
34,Miller-Patel Hospital,4073 Carr Parks Suite 169,Repentigny,Quebec,D7S 8L0,Canada,450-754-9669,millerpatel@healthcare.com,Clinic,24/7,Certified,
35,Weaver Inc Hospital,656 Garrison Causeway Apt. 369,Kirkland,Quebec,U0Y 1M4,Canada,514-168-0473,weaverinc@clinic.ca,General,10 AM - 8 PM,Accredited,450-431-5510
36,Sanchez LLC Hospital,6822 Banks Lights Suite 620,Trois-Rivières,Quebec,P5L 1Q3,Canada,438-496-1974,sanchezllc@healthcare.com,Clinic,24/7,Certified,438-688-1171
