technician_id,task_id
1,12
1,38
2,37
2,38
2,16
2,20
3,25
3,18
4,50
4,3
4,16
4,41
5,41
5,27
5,12
5,15
5,26
6,27
6,2
6,33
6,43
7,18
7,5
8,23
8,24
8,8
8,33
9,23
9,40
9,50
9,47
10,1
10,6
11,41
11,30
11,19
11,10
12,24
12,6
12,3
13,26
13,32
14,9
14,25
14,44
15,20
15,28
15,32
15,46
15,14
16,19
16,17
16,10
16,44
17,50
17,17
17,35
17,46
18,40
18,29
18,28
18,1
19,4
19,35
19,7
19,50
19,28
20,43
20,9
20,30
20,34
21,13
21,42
21,35
22,4
22,23
22,2
22,27
22,12
23,1
23,2
23,3
24,47
24,41
24,27
25,9
25,6
26,14
26,46
27,12
27,25
27,17
27,8
27,43
28,25
28,9
28,5
29,48
29,23
29,38
29,26
29,8
30,8
30,25
30,28
30,16
31,20
31,11
32,41
32,43
32,40
32,29
32,25
33,31
33,49
33,42
33,46
34,4
34,41
34,23
34,49
35,11
35,31
35,33
36,11
36,32
36,22
37,21
37,1
37,15
37,17
38,19
38,29
38,49
38,8
38,15
39,9
39,5
39,13
39,1
40,49
40,6
41,7
41,24
42,39
42,41
42,6
42,20
43,16
43,10
43,11
43,34
44,5
44,7
45,32
45,40
45,34
45,2
45,31
46,18
46,17
46,25
46,27
47,26
47,34
47,46
48,28
48,36
48,29
48,48
48,19
49,50
49,16
49,43
49,2
49,45
50,1
50,4
50,48
50,16
50,42
51,49
51,33
51,38
52,33
52,9
52,26
52,35
53,9
53,42
53,50
53,5
53,12
54,11
54,1
55,25
55,9
55,2
56,49
56,48
56,9
57,48
57,3
57,8
57,42
57,30
58,10
58,4
58,39
59,24
59,32
59,19
60,1
60,17
60,10
61,22
61,18
61,39
61,6
62,9
62,10
63,30
63,20
63,17
64,10
64,3
65,17
65,8
65,46
65,43
65,39
66,36
66,19
66,26
67,30
67,46
68,29
68,15
68,47
68,36
68,2
69,48
69,26
69,13
69,10
70,12
70,35
71,17
71,43
71,26
71,48
72,34
72,47
72,2
72,12
72,33
73,5
73,23
73,48
74,22
74,8
74,6
74,38
75,15
75,21
75,44
75,42
75,34
76,9
76,44
76,23
77,15
77,31
77,22
77,9
77,18
78,14
78,1
78,20
78,17
79,5
79,14
79,48
79,30
80,8
80,27
80,40
80,6
80,36
81,10
81,7
81,42
81,45
81,23
82,22
82,31
82,4
82,25
82,5
83,38
83,33
83,41
83,28
84,26
84,48
84,31
84,10
85,22
85,48
86,49
86,31
86,6
86,42
86,12
87,1
87,29
87,33
87,45
88,30
88,10
88,11
88,40
89,35
89,23
89,33
89,19
89,15
90,29
90,25
90,1
91,43
91,16
91,39
91,45
